,Price,Year of Production,Case Material,Brace Material,Condition
124,"$61,861",2022,Steel,Rubber,Unworn
125,"$122,803",2023,White gold,White gold,Unworn
126,"$180,073",2023,Ceramic,Ceramic,Unworn
127,"$65,304",2023,Steel,Steel,Unworn
128,"$64,156",2023,Steel,Steel,Unworn
129,"$45,793",2023,White gold,Rubber,Unworn
130,"$65,304",2022,Steel,Steel,Unworn
131,"$56,811",2022,Titanium,Rubber,Unworn
132,"$64,156",2023,Steel,Steel,Unworn
133,"$48,088",2023,Rose gold,Rubber,Unworn
134,"$85,503",2023,Rose gold,Rubber,Unworn
135,"$97,783",2023,Rose gold,Rose gold,Unworn
136,"$110,064",2023,Rose gold,Rose gold,Unworn
137,"$85,503",2023,Ceramic,Crocodile skin,Unworn
138,"$53,827",2023,Steel,Steel,Unworn
139,"$102,948",2022,Rose gold,Crocodile skin,Unworn
140,"$75,518",2023,Rose gold,Crocodile skin,Unworn
141,"$65,304",2023,Steel,Steel,Unworn
142,"$162,972",2023,Rose gold,Rose gold,Unworn
143,"$90,094",2023,Rose gold,Rose gold,Unworn
144,"$78,032",2022,Rose gold,Crocodile skin,Unworn
145,"$150,922",2023,White gold,Rubber,Unworn
146,"$82,519",2023,Rose gold,Rose gold,Unworn
147,"$75,977",2023,Steel,Steel,Unworn
148,"$60,254",2022,Titanium,Rubber,Unworn
149,"$100,423",2023,Rose gold,Crocodile skin,Unworn
150,"$110,064",2023,Rose gold,Rose gold,Unworn
151,"$67,140",2023,Rose gold,Crocodile skin,Unworn
152,"$77,928",2023,Rose gold,Rubber,Unworn
153,"$72,190",2022,Rose gold,Crocodile skin,Unworn
154,"$48,995",2023,Steel,Steel,Unworn
155,"$59,565",2023,Steel,Steel,Unworn
156,"$48,088",2023,Titanium,Rubber,Unworn
157,"$72,190",2022,Rose gold,Rose gold,Unworn
158,"$61,861",2022,Steel,Steel,Unworn
159,"$36,956",2022,Steel,Rubber,Unworn
160,"$63,008",2022,Steel,Steel,Unworn
161,"$101,571",2023,Steel,Steel,Unworn
162,Price on request,2022,Steel,Steel,Unworn
163,Price on request,2021,Steel,Steel,Unworn
164,Price on request,2022,Gold/Steel,Calf skin,Unworn
165,"$36,611",2007,Steel,Steel,Very good
166,"$25,244",2007,Steel,Steel,Very good
167,Price on request,2022,Rose gold,Rose gold,Unworn
168,Price on request,2022,Steel,Steel,Unworn
169,Price on request,2022,Rose gold,Crocodile skin,Unworn
170,Price on request,2022,Steel,Steel,Unworn
171,Price on request,2022,Rose gold,Crocodile skin,Unworn
172,Price on request,2022,White gold,White gold,Unworn
173,Price on request,2022,Titanium,Titanium,Unworn
174,Price on request,2022,White gold,White gold,Unworn
175,Price on request,2022,Ceramic,Ceramic,Unworn
176,Price on request,2019,Titanium,Rubber,Very good
177,Price on request,2018,Titanium,Titanium,Very good
178,Price on request,2020,Titanium,Rubber,Very good
179,Price on request,2017,Rose gold,Rubber,Very good
180,Price on request,2018,Rose gold,Rose gold,Unworn
181,"$106,735",1999 ,Platinum,Platinum,Very good
182,"$36,152",2005,Steel,Leather,Very good
183,"$20,486",2007,Steel,Rubber,Good
184,"$304,138",2022,Titanium,Rubber,Unworn
185,"$292,662",2021,Ceramic,Ceramic,Very good
186,"$63,008",2022,Steel,Steel,Unworn
187,"$46,941",2023,Steel,Rubber,Unworn
188,"$51,394",2022,Steel,Rubber,Unworn
189,"$30,873",2023,Steel,Rubber,Unworn
190,"$40,054",2019,White gold,Crocodile skin,Very good
191,"$38,448",2022,Steel,Rubber,Unworn
192,"$37,300",2022,Steel,Rubber,Unworn
193,"$91,701",2021,Steel,Steel,Very good
194,"$113,622",2013,Rose gold,Crocodile skin,Very good
195,"$56,122",2023,Steel,Rubber,Unworn
196,"$82,060",2022,Ceramic,Rubber,Unworn
197,"$57,270",2021,Steel,Steel,Unworn
198,"$204,863",2017,Carbon,Rubber,Very good
199,"$26,810",2010,Titanium,Titanium,Very good
200,Price on request,2021,Steel,Steel,Unworn
201,"$36,152",2008,Steel,Leather,Good
202,"$24,500",2009 ,Steel,Leather,Very good
203,"$107,883",2018,Steel,Steel,Very good
204,"$101,858",2017,Steel,Steel,Very good
205,"$65,705",2022,Steel,Steel,Unworn
206,"$35,578",2010,White gold,Leather,Very good
207,"$56,524",2014,Steel,Steel,Very good
208,"$54,114",2021,Steel,Steel,Unworn
209,"$44,340",2019,Steel,Rubber,Very good
210,"$39,010",2000,Steel,Steel,Very good
