,Year of Production,Case Material,Brace Material,Sex,Condition
105,2023,Steel,Steel,Men's watch/Unisex,Unworn
106,2023,Steel,Steel,Women's watch,Unworn
107,2023,Steel,Steel,Men's watch/Unisex,Unworn
108,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
109,2022,Steel,Steel,Men's watch/Unisex,Unworn
110,2022,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
111,2023,Steel,Steel,Men's watch/Unisex,Unworn
112,2022,Rose gold,Rose gold,Women's watch,Unworn
113,2022,Platinum,Platinum,Men's watch/Unisex,Unworn
114,2023,White gold,Rubber,Men's watch/Unisex,Unworn
115,2023,Steel,Gold/Steel,Women's watch,Unworn
116,2023,Rose gold,Rose gold,Women's watch,Unworn
117,2023,Titanium,Rubber,Men's watch/Unisex,Unworn
118,2023,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
119,2022,Steel,Steel,Women's watch,Unworn
120,2023,Steel,Steel,Men's watch/Unisex,Unworn
121,2023,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
122,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
123,2022,Steel,Rubber,Men's watch/Unisex,Unworn
124,2023,White gold,White gold,Men's watch/Unisex,Unworn
125,2023,Ceramic,Ceramic,Men's watch/Unisex,Unworn
126,2023,Steel,Steel,Women's watch,Unworn
127,2023,Steel,Steel,Women's watch,Unworn
128,2023,White gold,Rubber,Men's watch/Unisex,Unworn
129,2022,Steel,Steel,Men's watch/Unisex,Unworn
130,2022,Titanium,Rubber,Men's watch/Unisex,Unworn
131,2023,Steel,Steel,Men's watch/Unisex,Unworn
132,2023,Rose gold,Rubber,Men's watch/Unisex,Unworn
133,2023,Rose gold,Rubber,Women's watch,Unworn
134,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
135,2023,Rose gold,Rose gold,Women's watch,Unworn
136,2023,Ceramic,Crocodile skin,Men's watch/Unisex,Unworn
137,2023,Steel,Steel,Women's watch,Unworn
138,2022,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
139,2023,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
140,2023,Steel,Steel,Men's watch/Unisex,Unworn
141,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
142,2023,Rose gold,Rose gold,Women's watch,Unworn
143,2022,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
144,2023,White gold,Rubber,Men's watch/Unisex,Unworn
145,2023,Rose gold,Rose gold,Women's watch,Unworn
146,2023,Steel,Steel,Men's watch/Unisex,Unworn
147,2022,Titanium,Rubber,Men's watch/Unisex,Unworn
148,2023,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
149,2023,Rose gold,Rose gold,Women's watch,Unworn
150,2023,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
151,2023,Rose gold,Rubber,Men's watch/Unisex,Unworn
152,2022,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
153,2023,Steel,Steel,Men's watch/Unisex,Unworn
154,2023,Steel,Steel,Women's watch,Unworn
155,2023,Titanium,Rubber,Women's watch,Unworn
156,2022,Rose gold,Rose gold,Women's watch,Unworn
157,2022,Steel,Steel,Women's watch,Unworn
158,2022,Steel,Rubber,Men's watch/Unisex,Unworn
159,2022,Steel,Steel,Men's watch/Unisex,Unworn
160,2023,Steel,Steel,Men's watch/Unisex,Unworn
